TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,2,2.550000e+00,1.0,0.0,3.1000018e-06,0.0062385,4.0174084,1.0,5.506783,1.4893748,7.0,6.5346694,7.5469165,3.5295079,7.5470877,9.560526
2,2,8,3,2,1,2.550000e+00,1.0,1.0,--,--,9.573435,1.0,10.578245,1.0048101,5.0,12.091538,13.100192,3.5267565,13.100328,14.115154
3,3,1,1,1,2,1.700000e+00,1.0,2.0,--,--,14.121815,2.0,14.9326935,0.8108788,1.0,16.639885,17.647137,3.5253227,17.647278,19.653822
4,4,6,2,3,2,8.500000e-01,1.0,3.0,--,--,19.66654,1.0,20.38827,0.7217298,3.0,22.184378,23.192787,3.5262468,23.192942,25.209148
5,5,2,1,2,4,2.550000e+00,1.0,4.0,--,--,25.212753,1.0,25.893368,0.6806153,5.0,27.730349,28.736969,3.524217,28.737108,32.750412
6,6,4,2,1,1,2.550000e+00,1.0,5.0,--,--,32.76035,2.0,33.50162,0.7412717,1.0,35.27667,36.283195,3.5228443,36.283333,37.288235
7,7,7,3,1,4,1.700000e+00,1.0,6.0,--,--,37.291122,0.0,999.0,999.0,999.0,39.807804,40.824387,3.5332632,40.824524,44.829132
8,8,5,2,2,1,8.500000e-01,1.0,7.0,--,--,44.83904,1.0,45.630177,0.7911391,5.0,47.356228,48.36261,3.5235722,48.36275,49.366627
9,9,7,3,1,3,2.550000e+00,1.0,8.0,--,--,49.3694,1.0,50.38462,1.0152216,8.0,51.88711,52.896454,3.5270538,52.896595,55.90688
10,10,7,3,1,4,1.700000e+00,1.0,9.0,--,--,55.908524,1.0,57.491856,1.5833325,6.0,58.425766,59.4324,3.5238757,59.432537,63.447746
11,11,4,2,1,1,8.500000e-01,1.0,10.0,--,--,63.457428,0.0,999.0,999.0,999.0,65.96721,66.9845,3.527067,66.984634,67.985275
12,12,6,2,3,2,8.500000e-01,1.0,11.0,--,--,67.99377,1.0,69.95444,1.9606744,2.0,70.51188,71.52004,3.5262804,71.52018,73.52442
13,13,6,2,3,2,1.700000e+00,1.0,12.0,--,--,73.53246,0.0,999.0,999.0,999.0,76.04382,77.060104,3.5276432,77.06024,79.06319
14,14,6,2,3,4,8.500000e-01,1.0,13.0,--,--,79.069786,0.0,999.0,999.0,999.0,81.58262,82.59952,3.5297308,82.599655,86.60402
15,15,9,3,3,4,2.550000e+00,1.0,14.0,--,--,86.60688,1.0,87.405266,0.798384,3.0,89.12396,90.13087,3.523986,90.13101,94.145
16,16,1,1,1,3,8.500000e-01,1.0,15.0,--,--,94.18834,0.0,999.0,999.0,999.0,96.69767,97.71412,3.5257816,97.71427,100.71828
17,17,7,3,1,3,2.550000e+00,1.0,16.0,--,--,100.722404,1.0,102.65366,1.9312588,8.0,103.23985,104.247536,3.5251286,104.24768,107.257835
18,18,9,3,3,3,8.500000e-01,1.0,17.0,--,--,107.25942,0.0,999.0,999.0,999.0,109.7606,110.77726,3.5178378,110.7775,113.78101
19,19,6,2,3,2,1.700000e+00,1.0,18.0,--,--,113.79118,1.0,114.31515,0.5239701,4.0,116.3094,117.3169,3.5257194,117.31709,119.32019
20,20,5,2,2,3,2.550000e+00,1.0,19.0,--,--,119.32828,0.0,999.0,999.0,999.0,121.83965,122.85639,3.5281124,122.85653,125.86014
21,21,1,1,1,2,8.500000e-01,1.0,20.0,--,--,125.86499,1.0,126.861374,0.9963834,8.0,128.38232,129.38902,3.5240252,129.38916,131.39886
