TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,2,2.550000e+00,1.0,0.0,3.7520076e-06,4.899465,8.900515,8.905652,2.0,9.7639675,0.85831606,9.864559,4.091684,13.972637,2.0,13.972814,14.997278,6.091626,14.9977455,17.01477
2,2,8,3,2,1,2.550000e+00,1.0,1.0,--,--,--,17.018799,7.0,17.627743,0.6089444,17.728195,4.3410554,22.085602,5.0,22.085747,23.113033,6.0942354,23.113297,24.127724
3,3,1,1,1,2,1.700000e+00,1.0,2.0,--,--,--,24.1317,7.0,25.55989,1.4281901,25.660389,2.67181,28.348993,7.0,28.34914,29.376335,5.244633,29.37657,31.392984
4,4,6,2,3,2,8.500000e-01,1.0,3.0,--,--,--,31.398788,0.0,33.857117,2.4583287,33.957626,0.7916713,34.76552,999.0,34.765667,35.77399,4.3752007,35.774223,37.79126
5,5,2,1,2,4,2.550000e+00,1.0,4.0,--,--,--,37.793087,2.0,38.87216,1.0790763,38.97264,3.8709238,42.860744,5.0,42.86089,43.87375,6.080662,43.87398,47.888813
6,6,4,2,1,1,2.550000e+00,1.0,5.0,--,--,--,47.89068,0.0,50.353012,2.4623318,50.453526,2.4876683,52.957096,999.0,52.95724,53.9699,6.0792193,53.97013,54.986137
7,7,7,3,1,4,1.700000e+00,1.0,6.0,--,--,--,54.9878,2.0,56.068306,1.0805057,56.16887,3.0194943,59.204628,1.0,59.204773,60.217422,5.2296224,60.217655,64.23461
8,8,5,2,2,1,8.500000e-01,1.0,7.0,--,--,--,64.23618,0.0,66.69898,2.462795,66.79947,0.78720504,67.60448,999.0,67.60463,68.61544,4.3792562,68.61578,69.63122
9,9,7,3,1,3,2.550000e+00,1.0,8.0,--,--,--,69.63294,0.0,72.09825,2.465307,72.19882,2.484693,74.69944,999.0,74.69961,75.71395,6.0810075,75.71419,78.7306
10,10,7,3,1,4,1.700000e+00,1.0,9.0,--,--,--,78.73119,--,--,--,--,--,--,--,--,--,--,--,--
11,11,4,2,1,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,6,2,3,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,6,2,3,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,6,2,3,4,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,9,3,3,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,1,1,1,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,7,3,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,9,3,3,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,6,2,3,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,5,2,2,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,1,1,1,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,7,3,1,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,9,3,3,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,7,3,1,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,1,1,1,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,3,1,3,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,1,1,1,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,8,3,2,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,6,2,3,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,2,1,2,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,1,1,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,8,3,2,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,7,3,1,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,3,1,3,4,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,6,2,3,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
